goos: darwin
goarch: arm64
pkg: github.com/swonky/set/setbench
cpu: Apple M1
BenchmarkContainsMiss/Set/8-8              	234830173	         5.117 ns/op	       0 B/op	       0 allocs/op
BenchmarkContainsMiss/Frozen/8-8           	233163698	         5.156 ns/op	       0 B/op	       0 allocs/op
BenchmarkContainsMiss/Frozen/8-8           	234254155	         5.127 ns/op	       0 B/op	       0 allocs/op
BenchmarkContainsMiss/Frozen/8-8           	233179197	         5.144 ns/op	       0 B/op	       0 allocs/op
BenchmarkContainsMiss/Frozen/8-8           	233814420	         5.132 ns/op	       0 B/op	       0 allocs/op
BenchmarkContainsMiss/Frozen/8-8           	233735802	         5.121 ns/op	       0 B/op	       0 allocs/op
BenchmarkContainsMiss/Stable/8-8           	288126717	         4.187 ns/op	       0 B/op	       0 allocs/op
BenchmarkContainsMiss/Stable/8-8           	287541313	         4.208 ns/op	       0 B/op	       0 allocs/op
BenchmarkContainsMiss/Stable/8-8           	283092534	         4.168 ns/op	       0 B/op	       0 allocs/op
BenchmarkContainsMiss/Stable/8-8           	286617385	         4.174 ns/op	       0 B/op	       0 allocs/op
BenchmarkContainsMiss/Stable/8-8           	284592122	         4.174 ns/op	       0 B/op	       0 allocs/op
BenchmarkContainsMiss/Set/32-8             	232407648	         5.132 ns/op	       0 B/op	       0 allocs/op
BenchmarkContainsMiss/Set/32-8             	234150890	         5.130 ns/op	       0 B/op	       0 allocs/op
BenchmarkContainsMiss/Set/32-8             	233339990	         5.127 ns/op	       0 B/op	       0 allocs/op
BenchmarkContainsMiss/Set/32-8             	234382705	         5.123 ns/op	       0 B/op	       0 allocs/op
BenchmarkContainsMiss/Set/32-8             	233271818	         5.138 ns/op	       0 B/op	       0 allocs/op
BenchmarkContainsMiss/Frozen/32-8          	233753026	         5.123 ns/op	       0 B/op	       0 allocs/op
BenchmarkContainsMiss/Frozen/32-8          	234339985	         5.127 ns/op	       0 B/op	       0 allocs/op
BenchmarkContainsMiss/Frozen/32-8          	232724790	         5.136 ns/op	       0 B/op	       0 allocs/op
BenchmarkContainsMiss/Frozen/32-8          	233331823	         5.127 ns/op	       0 B/op	       0 allocs/op
